id,price,nb_bedrooms,indoor_surface,zip_code,subtype,currency,building_state,year_of_construction,energy_certificate,outdoor_terrace_exists,energy,kitchen_type,land_surface,outdoor_surface,country,province,city,parking,url,type
20812307,345000.0,2,85.0,3740,apartment,eur,GOOD,2025.0,A,True,,,,,Belgique,Limbourg,Bilzen,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/bilzen/3740/20812307,apartment
20573737,330000.0,4,137.0,1300,house,eur,TO_BE_DONE_UP,1914.0,D,True,gas,semi_equipped,527.0,467.0,Belgique,Brabant Wallon,WAVRE,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/wavre/1300/20573737,house
20806255,385000.0,3,90.0,3000,house,eur,GOOD,,D,False,,,58.0,,Belgique,Brabant Flamand,Leuven,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/leuven/3000/20806255,house
20711778,329000.0,3,100.0,1070,apartment,eur,JUST_RENOVATED,1993.0,B,True,gas,usa_hyper_equipped,,,Belgique,Bruxelles,Anderlecht,True,https://www.immoweb.be/fr/annonce/appartement/a-vendre/anderlecht/1070/20711778,apartment
20692975,395000.0,3,123.0,1301,house,eur,GOOD,1950.0,E,True,gas,semi_equipped,603.0,603.0,Belgique,Brabant Wallon,BIERGES,True,https://www.immoweb.be/fr/annonce/maison/a-vendre/bierges/1301/20692975,house
20807476,448000.0,3,121.0,1170,house,eur,GOOD,,D,False,gas,semi_equipped,40.0,,Belgique,Bruxelles,WATERMAEL-BOITSFORT,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/watermael-boitsfort/1170/20807476,house
20812371,169000.0,2,65.0,9700,house,eur,,,F,True,gas,,82.0,,Belgique,Flandre Orientale,Oudenaarde,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/oudenaarde/9700/20812371,house
20812369,265000.0,2,65.0,9700,apartment,eur,GOOD,2008.0,D,True,,,,,Belgique,Flandre Orientale,Eine,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/eine/9700/20812369,apartment
20801122,159500.0,2,89.0,2100,apartment,eur,GOOD,1965.0,D,False,gas,semi_equipped,,,Belgique,Anvers,DEURNE,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/deurne/2100/20801122,apartment
20805747,389500.0,3,154.0,1570,house,eur,AS_NEW,2025.0,A,False,solar,,585.0,1.0,Belgique,Brabant Flamand,Galmaarden,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/galmaarden/1570/20805747,house
20764978,362500.0,2,95.0,1435,apartment,eur,AS_NEW,2019.0,B,False,gas,installed,,123.0,Belgique,Brabant Wallon,Mont-Saint-Guibert,True,https://www.immoweb.be/fr/annonce/appartement/a-vendre/mont-saint-guibert/1435/20764978,apartment
20812324,488500.0,2,101.0,9000,apartment,eur,JUST_RENOVATED,2024.0,A,True,,,,,Belgique,Flandre Orientale,Gent,True,https://www.immoweb.be/fr/annonce/appartement/a-vendre/gent/9000/20812324,apartment
11178945,750000.0,2,133.0,8400,apartment,eur,JUST_RENOVATED,,A,False,,,,,Belgique,Flandre Occidentale,Oostende,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/oostende/8400/11178945,apartment
20773166,695000.0,2,140.0,2000,penthouse,eur,GOOD,2010.0,B,True,gas,hyper_equipped,,,Belgique,Anvers,Antwerpen,True,https://www.immoweb.be/fr/annonce/penthouse/a-vendre/antwerpen/2000/20773166,apartment
20753439,450000.0,2,93.0,1160,apartment,eur,AS_NEW,1967.0,C,True,gas,usa_hyper_equipped,,,Belgique,Bruxelles,Auderghem,True,https://www.immoweb.be/fr/annonce/appartement/a-vendre/auderghem/1160/20753439,apartment
20812306,325000.0,2,89.0,3740,apartment,eur,GOOD,2025.0,A,True,,,,45.0,Belgique,Limbourg,Bilzen,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/bilzen/3740/20812306,apartment
20778979,395000.0,5,150.0,2100,house,eur,GOOD,,B,True,gas,installed,150.0,72.0,Belgique,Anvers,ANTWERPEN,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/antwerpen/2100/20778979,house
20806568,379000.0,3,155.0,1070,house,eur,TO_BE_DONE_UP,1930.0,G,False,gas,semi_equipped,80.0,,Belgique,Bruxelles,ANDERLECHT,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/anderlecht/1070/20806568,house
20812375,595000.0,2,147.0,1180,apartment,eur,GOOD,1991.0,F,True,,installed,,,Belgique,Bruxelles,UKKEL,True,https://www.immoweb.be/fr/annonce/appartement/a-vendre/ukkel/1180/20812375,apartment
20337851,199000.0,3,96.0,3800,apartment,eur,,1973.0,C,False,,,,,Belgique,Limbourg,Sint-Truiden,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/sint-truiden/3800/20337851,apartment
20615298,415000.0,4,198.0,1325,apartment_block,eur,TO_BE_DONE_UP,1900.0,F,True,fueloil,semi_equipped,836.0,160.0,Belgique,Brabant Wallon,CORROY-LE-GRAND,True,https://www.immoweb.be/fr/annonce/immeuble-a-appartements/a-vendre/corroy-le-grand/1325/20615298,house
20803685,325000.0,3,172.0,6900,house,eur,AS_NEW,2025.0,A,True,gas,not_installed,513.0,1.0,Belgique,Luxembourg,Marche-en-Famenne,True,https://www.immoweb.be/fr/annonce/maison/a-vendre/marche-en-famenne/6900/20803685,house
20545292,330000.0,2,89.0,2880,apartment,eur,GOOD,2015.0,B,True,gas,hyper_equipped,,40.0,Belgique,Anvers,BORNEM,True,https://www.immoweb.be/fr/annonce/appartement/a-vendre/bornem/2880/20545292,apartment
20812308,399000.0,2,106.0,3740,apartment,eur,GOOD,2025.0,A,True,,,,53.0,Belgique,Limbourg,Bilzen,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/bilzen/3740/20812308,apartment
20805085,299000.0,3,250.0,4530,town_house,eur,,1850.0,E,False,gas,,3628.0,,Belgique,Liège,Villers-le-Bouillet (Villers-le-Bouillet),False,https://www.immoweb.be/fr/annonce/maison-bel-etage/a-vendre/villers-le-bouillet-villers-le-bouillet/4530/20805085,house
20797811,215000.0,1,50.0,1190,apartment,eur,GOOD,1960.0,G,True,gas,installed,,,Belgique,Bruxelles,Forest,True,https://www.immoweb.be/fr/annonce/appartement/a-vendre/forest/1190/20797811,apartment
20795236,525000.0,1,77.0,9000,apartment,eur,AS_NEW,,A,True,,,,,Belgique,Flandre Orientale,Gent,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/gent/9000/20795236,apartment
20783998,398000.0,3,127.0,1850,house,eur,TO_RENOVATE,1962.0,F,True,pellet,semi_equipped,800.0,,Belgique,Brabant Flamand,GRIMBERGEN,True,https://www.immoweb.be/fr/annonce/maison/a-vendre/grimbergen/1850/20783998,house
20812285,434000.0,3,133.0,9032,house,eur,GOOD,,,False,,,191.0,129.0,Belgique,Flandre Orientale,Wondelgem,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/wondelgem/9032/20812285,house
20785315,630000.0,3,198.0,1090,house,eur,GOOD,,G,True,gas,installed,110.0,63.0,Belgique,Bruxelles,Jette,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/jette/1090/20785315,house
20817273,300000.0,2,90.0,1000,apartment,eur,AS_NEW,2022.0,B,True,gas,installed,,,Belgique,Bruxelles,Bruxelles,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles/1000/20817273,apartment
20816285,419000.0,3,140.0,9000,apartment,eur,AS_NEW,2024.0,,True,gas,hyper_equipped,,,Belgique,Flandre Orientale,Gent,True,https://www.immoweb.be/fr/annonce/appartement/a-vendre/gent/9000/20816285,apartment
20758465,235000.0,2,83.0,2100,apartment,eur,AS_NEW,1957.0,A,True,gas,semi_equipped,,,Belgique,Anvers,DEURNE,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/deurne/2100/20758465,apartment
20779096,550000.0,4,205.0,1450,house,eur,GOOD,1974.0,C,True,gas,installed,1642.0,,Belgique,Brabant Wallon,CHASTRE,True,https://www.immoweb.be/fr/annonce/maison/a-vendre/chastre/1450/20779096,house
20812268,395000.0,3,205.0,9940,house,eur,GOOD,1996.0,C,False,electric,installed,282.0,184.0,Belgique,Flandre Orientale,Evergem,True,https://www.immoweb.be/fr/annonce/maison/a-vendre/evergem/9940/20812268,house
20815900,649000.0,3,200.0,1780,house,eur,AS_NEW,1958.0,B,True,gas,usa_hyper_equipped,520.0,420.0,Belgique,Brabant Flamand,Wemmel,True,https://www.immoweb.be/fr/annonce/maison/a-vendre/wemmel/1780/20815900,house
20812286,426000.0,3,133.0,9032,house,eur,GOOD,,,False,,,181.0,115.0,Belgique,Flandre Orientale,Wondelgem,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/wondelgem/9032/20812286,house
20812267,499000.0,4,170.0,9050,house,eur,GOOD,,A,False,gas,installed,168.0,,Belgique,Flandre Orientale,Gentbrugge,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/gentbrugge/9050/20812267,house
20723568,219800.0,2,75.0,9230,apartment,eur,AS_NEW,,B,False,gas,hyper_equipped,,,Belgique,Flandre Orientale,Wetteren,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/wetteren/9230/20723568,apartment
20816424,625000.0,3,132.0,1420,penthouse,eur,AS_NEW,2025.0,,True,,hyper_equipped,,,Belgique,Brabant Wallon,Braine-l&#039;Alleud,True,https://www.immoweb.be/fr/annonce/penthouse/a-vendre/braine-lalleud/1420/20816424,apartment
20812290,410000.0,3,141.0,9032,house,eur,GOOD,,,False,,,111.0,39.0,Belgique,Flandre Orientale,Wondelgem,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/wondelgem/9032/20812290,house
20812289,372000.0,3,161.0,9230,house,eur,GOOD,,,False,,,135.0,,Belgique,Flandre Orientale,Wetteren,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/wetteren/9230/20812289,house
20812275,349000.0,3,180.0,9230,house,eur,AS_NEW,1936.0,A,True,gas,hyper_equipped,450.0,280.0,Belgique,Flandre Orientale,Wetteren,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/wetteren/9230/20812275,house
20796133,285000.0,2,80.0,8400,apartment,eur,GOOD,1961.0,D,False,fueloil,,,,Belgique,Flandre Occidentale,Oostende,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/oostende/8400/20796133,apartment
20812288,575000.0,2,106.0,9032,apartment,eur,GOOD,,A,True,,,,,Belgique,Flandre Orientale,Wondelgem,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/wondelgem/9032/20812288,apartment
20812284,497200.0,3,223.0,1435,house,eur,GOOD,,A,False,,,452.0,367.0,Belgique,Brabant Wallon,Corbais,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/corbais/1435/20812284,house
20785124,285000.0,4,211.0,9500,villa,eur,GOOD,,E,True,gas,installed,418.0,165.0,Belgique,Flandre Orientale,Geraardsbergen,True,https://www.immoweb.be/fr/annonce/villa/a-vendre/geraardsbergen/9500/20785124,house
20723566,228600.0,2,75.0,9230,apartment,eur,AS_NEW,2023.0,B,True,gas,hyper_equipped,,,Belgique,Flandre Orientale,Wetteren,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/wetteren/9230/20723566,apartment
20812273,519000.0,0,180.0,2950,mixed_use_building,eur,,1955.0,B,True,,installed,250.0,,Belgique,Anvers,Kapellen,True,https://www.immoweb.be/fr/annonce/immeuble-mixte/a-vendre/kapellen/2950/20812273,house
20816435,460000.0,3,115.0,1420,apartment,eur,AS_NEW,2025.0,,True,,hyper_equipped,,,Belgique,Brabant Wallon,Braine-l&#039;Alleud,True,https://www.immoweb.be/fr/annonce/appartement/a-vendre/braine-lalleud/1420/20816435,apartment
20812277,265000.0,1,51.0,3000,apartment,eur,GOOD,1970.0,C,True,,installed,,,Belgique,Brabant Flamand,Leuven,True,https://www.immoweb.be/fr/annonce/appartement/a-vendre/leuven/3000/20812277,apartment
20812282,315000.0,3,139.0,4651,apartment,eur,AS_NEW,,B,True,gas,hyper_equipped,,,Belgique,Liège,Herve,True,https://www.immoweb.be/fr/annonce/appartement/a-vendre/herve/4651/20812282,apartment
20812279,395000.0,3,182.0,2070,house,eur,JUST_RENOVATED,,B,True,gas,installed,172.0,,Belgique,Anvers,Beveren-Kruibeke-Zwijndrecht,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/beveren-kruibeke-zwijndrecht/2070/20812279,house
20812274,415000.0,2,110.0,9000,apartment,eur,GOOD,,,False,,,,,Belgique,Flandre Orientale,Gent,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/gent/9000/20812274,apartment
20788083,1700000.0,4,241.0,8300,house,eur,GOOD,2022.0,B,True,gas,hyper_equipped,813.0,,Belgique,Flandre Occidentale,Knokke-Heist,True,https://www.immoweb.be/fr/annonce/maison/a-vendre/knokke-heist/8300/20788083,house
20812280,549000.0,4,200.0,2630,house,eur,AS_NEW,1982.0,B,True,,,400.0,250.0,Belgique,Anvers,Aartselaar,True,https://www.immoweb.be/fr/annonce/maison/a-vendre/aartselaar/2630/20812280,house
